epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,3263.16,1.24867,2.17427,0.76858,1.19478,0.82347,0.79981,0.84344,0.51626,0.81393,0.79939,0.83784,0.46279,1.43327,2.41273,0.80221,1.32152,0.00227093,0.00227093,0.00227093
68,3311.49,1.24731,2.1828,0.7655,1.19326,0.83842,0.79426,0.83816,0.51387,0.8428,0.79092,0.83491,0.46157,1.44523,2.40584,0.77943,1.33282,0.00225076,0.00225076,0.00225076
69,3359.75,1.24347,2.17052,0.76329,1.19315,0.85162,0.80006,0.84884,0.51652,0.85151,0.78018,0.83491,0.46083,1.42735,2.42142,0.78772,1.30981,0.0022304,0.0022304,0.0022304
70,3408.14,1.24482,2.17299,0.74738,1.19285,0.84098,0.79605,0.84395,0.51306,0.84442,0.79311,0.83659,0.45709,1.42734,2.41346,0.79872,1.3234,0.00220988,0.00220988,0.00220988
71,3456.52,1.23699,2.17096,0.75328,1.18854,0.83349,0.79228,0.83939,0.5096,0.8336,0.79182,0.83731,0.45658,1.45121,2.40405,0.78798,1.33604,0.00218918,0.00218918,0.00218918
72,3504.9,1.23433,2.17453,0.74665,1.19174,0.84243,0.79772,0.84798,0.52312,0.84664,0.7915,0.84241,0.47018,1.42118,2.36326,0.76443,1.31961,0.00216831,0.00216831,0.00216831
73,3553.53,1.23941,2.18259,0.74474,1.18758,0.82833,0.79988,0.84177,0.51222,0.83871,0.7938,0.83848,0.46138,1.43381,2.41389,0.77986,1.31098,0.00214728,0.00214728,0.00214728
74,3601.8,1.21173,2.14574,0.72844,1.17969,0.83853,0.79244,0.83245,0.51369,0.83993,0.78356,0.82869,0.46586,1.42382,2.37147,0.78645,1.318,0.0021261,0.0021261,0.0021261
75,3650.15,1.21327,2.1443,0.7287,1.17628,0.84935,0.79157,0.8446,0.5116,0.85261,0.78071,0.83464,0.45879,1.44032,2.41672,0.78128,1.33058,0.00210476,0.00210476,0.00210476
76,3698.54,1.2136,2.14739,0.73565,1.17627,0.83493,0.79232,0.84524,0.52419,0.85317,0.78929,0.84091,0.47239,1.40855,2.35612,0.77066,1.31523,0.00208328,0.00208328,0.00208328
77,3747.03,1.21298,2.14106,0.73468,1.18379,0.82883,0.7911,0.84186,0.51392,0.83052,0.78838,0.83853,0.46062,1.41964,2.41277,0.78385,1.32321,0.00206166,0.00206166,0.00206166
78,3795.41,1.21879,2.12478,0.73844,1.17911,0.84189,0.80298,0.84943,0.51697,0.84713,0.79348,0.84067,0.46606,1.43418,2.42256,0.7747,1.32975,0.00203991,0.00203991,0.00203991
79,3843.72,1.22073,2.14987,0.73166,1.17995,0.83527,0.7996,0.84522,0.51732,0.83915,0.78842,0.83702,0.46546,1.41164,2.39581,0.77919,1.31353,0.00201803,0.00201803,0.00201803
80,3892.1,1.2151,2.144,0.73131,1.16747,0.84554,0.80825,0.8513,0.52736,0.84577,0.80916,0.84894,0.47014,1.38713,2.36704,0.75611,1.30105,0.00199602,0.00199602,0.00199602
81,3940.69,1.19013,2.11043,0.71236,1.16674,0.86672,0.81362,0.85991,0.52965,0.86332,0.8071,0.85163,0.47892,1.40129,2.34889,0.74207,1.3075,0.00197389,0.00197389,0.00197389
82,3989.22,1.19204,2.107,0.70669,1.16073,0.84916,0.79889,0.84088,0.51774,0.85981,0.79483,0.83724,0.46508,1.41454,2.40646,0.769,1.31796,0.00195165,0.00195165,0.00195165
83,4037.64,1.20437,2.11997,0.71597,1.16569,0.84935,0.80656,0.84852,0.52192,0.85059,0.79501,0.8423,0.47073,1.40814,2.35567,0.7708,1.30413,0.0019293,0.0019293,0.0019293
84,4085.94,1.18926,2.09611,0.70754,1.15538,0.85276,0.79032,0.84782,0.52632,0.86512,0.7859,0.84511,0.4714,1.40195,2.34499,0.74994,1.30693,0.00190685,0.00190685,0.00190685
